Food_ID,Food name and Description,Scientific name,Alternate/Common name(s),Edible portion,Option
M051,"Sugar, coconut sap",N/A,Coco sugar,100%,Data Image
M052,"Syrup, coconut sap",N/A,Coco syrup,100%,Data Image
N001,"Bilimbi, dried",N/A,"Kamyas, tuyo",100%,Data Image
N002,"Bouillon cube, beef",N/A,Beef cube,100%,Data Image
N003,"Bouillon cube, chicken",N/A,Chicken cube,100%,Data Image
N004,"Catsup, banana",N/A,N/A,100%,Data Image
N005,"Catsup, tomato",N/A,N/A,100%,Data Image
N006,"Clam paste, ginamos",N/A,"Bagoong tulya, ginamos",100%,Data Image
N007,"Fish paste, anchovy",N/A,Bagoong dilis,100%,Data Image
N008,"Fish paste, balatohan",N/A,Bagoong balatohan,-,Data Image
N009,"Fish paste, ginamos",N/A,"Bagoong isda, ginamos",100%,Data Image
N010,"Fish paste, siganid fry",N/A,Bagoong padas,100%,Data Image
N011,Fish sauce,N/A,Patis,100%,Data Image
N013,Lechon sauce,N/A,Litson sarsa,100%,Data Image
N014,Lemon grass lvs,Cymbopogon citratus,Tanglad dahon,-,Data Image
N015,"Lemon grass lvs, boiled",Cymbopogon citratus,"Tanglad dahon, nilaga",100%,Data Image
N016,"Banana, flowers, dried",N/A,"Saging bulaklak, tuyo",98%,Data Image
N017,Oyster paste,N/A,Bagoong talaba/Sise,100%,Data Image
N018,"Safflower, flowers, dried",Carthamus tinctorius,"Kasubha bulaklak, tuyo",100%,Data Image
N019,"Salt, coarse",N/A,"Asin, magaspang",100%,Data Image
N020,Shrimp paste,N/A,Bagoong hipon,100%,Data Image
N021,"Shrimp paste, alamang",N/A,"Bagoong hipon, alamang",100%,Data Image
N022,"Shrimp paste, bastos",N/A,"Bagoong hipon, bastos",100%,Data Image
N023,Soy sauce,N/A,Toyo,100%,Data Image
N024,Tomato paste,N/A,N/A,100%,Data Image
N025,Tomato sauce,N/A,N/A,100%,Data Image
N027,"Vinegar, coconut",N/A,"Suka, niyog",100%,Data Image
N028,"Vinegar, palm",N/A,"Suka, sasa",100%,Data Image
N029,"Vinegar, pineapple",N/A,"Suka, pinya",100%,Data Image
N030,Worcestershire sauce,N/A,N/A,100%,Data Image
N031,"Shrimp paste, sauteed",N/A,"Bagoong alamang, ginisa",100%,Data Image
P001,"Beer, lager type",N/A,Serbesa,100%,Data Image
P002,"Palm sap, fermented",N/A,Tuba,100%,Data Image
